"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Walker, Taijuan",592836,"PHI","CUKC","Curveball",0,0,"162",5.7,"36","0.212","0.485","0.324",36,30.6,32.4,"0.172","0.38","0.267",18.2
"Fulmer, Michael",605242,"CHC","SIFT","Sinker",-2.4,-3,"105",11.1,"35","0.25","0.464","0.381",19,20,23.3,"0.277","0.431","0.381",28.6
"Brasier, Ryan",518489,"LAD","FC","Cutter",5,6,"123",13.6,"35","0.152","0.273","0.236",16.4,11.4,23.5,"0.232","0.371","0.281",37.9
"Staumont, Josh",622251,"KC","FF","4-Seamer",-1.5,-2,"167",46.4,"35","0.296","0.444","0.407",23.4,11.4,18.2,"0.327","0.587","0.458",47.8
"García, Deivi",665620,"CWS","FF","4-Seamer",-0.5,-1,"162",56.1,"35","0.143","0.476","0.39",19.7,8.6,6.5,"0.204","0.489","0.428",50
"Boyle, Joe",671212,"OAK","FF","4-Seamer",1,1,"140",58.3,"35","0.156","0.313","0.266",21.6,20,17.1,"0.208","0.367","0.281",56
"Pop, Zach",647315,"TOR","SIFT","Sinker",-1.1,-1,"121",60.8,"35","0.233","0.567","0.384",25,22.9,26.7,"0.276","0.542","0.396",45.5
"Woo, Bryan",693433,"SEA","SL","Slider",-3.8,-5,"128",8.8,"35","0.257","0.457","0.304",31.1,25.7,17.3,"0.208","0.323","0.225",26.9
"Garza, Justin",621057,"BOS","SIFT","Sinker",0.2,0,"161",45.7,"35","0.241","0.552","0.373",14.1,11.4,11.1,"0.324","0.805","0.492",50
"Cabrera, Génesis",650893,"TOR","SIFT","Sinker",2.3,3,"135",14.3,"35","0.194","0.226","0.231",8.5,0,0,"0.276","0.454","0.343",50
"Pfaadt, Brandon",694297,"AZ","SIFT","Sinker",-2,-3,"160",9.9,"35","0.313","0.563","0.426",18.8,20,33.3,"0.273","0.506","0.361",36
"Turnbull, Spencer",605513,"DET","SL","Slider",-0.8,-1,"124",22.3,"35","0.29","0.452","0.363",29.4,14.3,12.5,"0.253","0.354","0.311",38.5
